"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","금전및 유가증권건수","금전및 유가증권금액","도서및 물품건수","도서및 물품금액","수목시설및 재산건수","수목시설및 재산금액","건수합계","금액합계","학교교육시설 보수확충금액","교육용기자재 및도서금액","학교체육학예 활동금액","학생복지및 자치활동지원금액","지출금액합계"
"경상남도교육청","밀양교육지원청","경상남도 밀양시","S160001524","송진초등학교","02","공립","N","","3","1300000","0","0","0","0","3","1300000","0","0","0","4100000","4100000"
"경상남도교육청","밀양교육지원청","경상남도 밀양시","S160001525","수산초등학교","02","공립","N","","3","500000","0","0","0","0","3","500000","0","0","140800","500000","640800"
"경상남도교육청","밀양교육지원청","경상남도 밀양시","S160001526","숭진초등학교","02","공립","N","","11","6600000","0","0","0","0","11","6600000","0","0","0","3500000","3500000"
"경상남도교육청","밀양교육지원청","경상남도 밀양시","S160001534","예림초등학교","02","공립","N","","8","8900000","0","0","0","0","8","8900000","0","0","0","8400000","8400000"
"경상남도교육청","밀양교육지원청","경상남도 밀양시","S160001542","청도초등학교","02","공립","N","","8","1200160","0","0","0","0","8","1200160","0","0","0","1100000","1100000"
"경상남도교육청","밀양교육지원청","경상남도 밀양시","S160001544","초동초등학교","02","공립","N","","15","2700000","0","0","0","0","15","2700000","0","0","0","2800000","2800000"
"경상남도교육청","밀양교육지원청","경상남도 밀양시","S160001546","태룡초등학교","02","공립","N","","7","2400000","0","0","0","0","7","2400000","0","0","0","2400000","2400000"
"경상남도교육청","사천교육지원청","경상남도 사천시","S160001605","곤양초등학교","02","공립","N","","14","8390000","3","1140900","0","0","17","9530900","0","0","0","8600000","8600000"
"경상남도교육청","사천교육지원청","경상남도 사천시","S160001610","남양초등학교","02","공립","N","","9","13800000","0","0","0","0","9","13800000","0","0","0","13800000","13800000"
"경상남도교육청","사천교육지원청","경상남도 사천시","S160001611","노산초등학교","02","공립","N","","5","7200000","3","4800000","0","0","8","12000000","0","1000000","5802760","400000","7202760"
"경상남도교육청","사천교육지원청","경상남도 사천시","S160001615","대방초등학교","02","공립","N","","6","8100000","3","3962000","0","0","9","12062000","0","1769020","4310520","3403140","9482680"
"경상남도교육청","사천교육지원청","경상남도 사천시","S160001618","대성초등학교","02","공립","N","","11","7830000","2","4780000","0","0","13","12610000","0","1000000","5129860","2730000","8859860"
"경상남도교육청","사천교육지원청","경상남도 사천시","S160001620","동성초등학교","02","공립","N","","6","4900000","0","0","0","0","6","4900000","0","0","2000000","2900000","4900000"
"경상남도교육청","사천교육지원청","경상남도 사천시","S160001621","문선초등학교","02","공립","N","","11","17600000","0","0","0","0","11","17600000","0","2013970","11996930","3600000","17610900"
"경상남도교육청","사천교육지원청","경상남도 사천시","S160001626","사천초등학교","02","공립","N","","4","1600000","0","0","0","0","4","1600000","0","0","0","1600000","1600000"
"경상남도교육청","사천교육지원청","경상남도 사천시","S160001627","삼성초등학교","02","공립","N","","4","10500000","0","0","0","0","4","10500000","0","2066980","9996600","500000","12563580"
"경상남도교육청","사천교육지원청","경상남도 사천시","S160001630","삼천포초등학교","02","공립","N","","11","9500000","7","5705800","0","0","18","15205800","0","4219880","4300000","4200490","12720370"
