"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교과프로그램수","교과수강학생수","특기적성프로그램수","특기적성수강학생수","프로그램수(계)","수강학생수(계)","방과후학교참여학생수","초등돌봄교실 오후돌봄운영교실수","초등돌봄교실 오후돌봄참여학생수","초등돌봄교실 저녁돌봄운영교실수","초등돌봄교실 저녁돌봄참여학생수","초등돌봄교실방과후학교 연계형돌봄운영교실수","초등돌봄교실방과후학교 연계형돌봄참여학생수","특수학교종일반 학급수","특수학교종일반 참여학생수","방과후학교 수익자부담금액","방과후학교 수익자부담외지원금액","초등돌봄교실 수익자부담금액","초등돌봄교실 수익자부담외지원금액"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000943","서울잠실초등학교","02","공립","N","","0","0","0","0","0","0","0","4","52","0","0","0","0","0","0","815847410","11235850","12870000","172290420"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000944","서울잠일초등학교","02","공립","N","","0","0","0","0","0","0","0","5","56","0","0","1","15","0","0","103275427","622450","44376080","0"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000945","서울잠전초등학교","02","공립","N","","0","0","0","0","0","0","0","4","100","1","7","1","14","0","0","383606860","40568000","34788500","2372000"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000946","서울중대초등학교","02","공립","N","","5","20","0","0","5","20","20","4","98","1","3","1","13","0","0","483507170","33966470","22052000","105845320"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000947","서울천동초등학교","02","공립","N","","0","0","0","0","0","0","0","4","101","1","1","1","3","0","0","329543010","23937400","48714500","25476000"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000948","서울천일초등학교","02","공립","N","","0","0","0","0","0","0","0","2","40","0","0","1","5","0","0","149471790","38001510","14761000","9419000"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000949","서울천호초등학교","02","공립","N","","0","0","0","0","0","0","0","3","75","1","10","0","0","0","0","283911790","53935520","35829000","109919170"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000950","서울토성초등학교","02","공립","N","","0","0","0","0","0","0","0","4","30","1","2","0","0","0","0","364722870","21590520","55618000","41000000"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000951","서울평화초등학교","02","공립","N","","0","0","0","0","0","0","0","2","20","0","0","1","12","0","0","64793590","6431230","15988000","86397990"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000952","서울풍납초등학교","02","공립","N","","0","0","0","0","0","0","0","3","50","0","0","0","0","0","0","243700565","14757070","32305000","83537987"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000953","서울풍성초등학교","02","공립","N","","0","0","0","0","0","0","0","1","9","1","3","0","0","0","0","77235810","908000","7128000","12800000"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000954","서울한산초등학교","02","공립","N","","0","0","0","0","0","0","0","3","56","1","2","2","22","0","0","383739600","35941750","41847650","108780070"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001004","서울가곡초등학교","02","공립","N","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","239428860","14569390","24144000","84808800"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001005","서울가양초등학교","02","공립","N","","0","0","0","0","0","0","0","2","50","1","2","0","0","0","0","69565390","46285230","10387","7011"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001006","서울갈산초등학교","02","공립","N","","0","0","0","0","0","0","0","2","50","0","0","1","15","0","0","268568180","15432980","20448000","36003000"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001007","서울강서초등학교","02","공립","N","","0","0","0","0","0","0","0","3","75","0","0","0","0","0","0","544199250","43258100","25170500","107242070"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001008","서울강신초등학교","02","공립","N","","0","0","0","0","0","0","0","1","75","3","8","0","0","0","0","207373250","25061210","29889500","1565500"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001009","서울강월초등학교","02","공립","N","","0","0","0","0","0","0","0","3","75","1","3","1","24","0","0","318243100","8266030","29034000","116389550"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001010","서울개화초등학교","02","공립","N","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49805000","5664850","6630000","44406620"
